question_no,main_subject,sub_subject,question,optiona,optionb,optionc,optiond,correct_answer,difficulty,year,typeofpaper
36,Digital Electronics,Memory,A 4 kb memory is arranged as a square array with equal number of rows and columns. The minimum number of address lines for the column decoder is:,6,7,8,10,6,Medium,2020,ScientistEngineer SC Electronics
37,Digital Electronics,Memory,"A 4K × 8 bit RAM is interfaced to an 8-bit microprocessor. If the starting address is 4000H, the last address is:",0FFFH,47FFH,4FFFH,8000H,4FFFH,Medium,2020,ScientistEngineer SC Electronics
38,Communication,Information Theory,"A communication channel has bandwidth 3 kHz and SNR 15. If SNR reduces to 7 and bandwidth increases to 4 kHz, the channel capacity will:",Remain same,Decrease by 1 kbps,Increase by 1 kbps,Decrease by 17 kbps,Remain same,Medium,2020,ScientistEngineer SC Electronics
39,Communication,Digital Modulation,A communication system has data rate 2000 kbps using 8-PSK and coding rate 5/6. The symbol rate is:,6000 ksps,5000 ksps,800 ksps,666 ksps,5000 ksps,Medium,2020,ScientistEngineer SC Electronics
40,Communication,Optical,"For an optical fiber using GaAs LED with coupling efficiency 0.08, the optical loss is:",8 dB,11 dB,29 dB,20 dB,11 dB,Easy,2020,ScientistEngineer SC Electronics
41,DSP,FFT,The number of complex multiplications required for 16-point DFT using direct computation and FFT respectively are:,"256, 32","1024, 128","16, 4","64, 16","256, 32",Medium,2020,ScientistEngineer SC Electronics
42,DSP,DFT,"If X(k) is the DFT of sequence x[n] = x1[n] + jx2[n], then the DFT of x1[n] is:",(X[k] + X*[N−k])/2,(X*[k] − X[N−k])/2,(X[k] + X[N−k])/2,(X[k] − X*[N−k])/2,(X[k] + X*[N−k])/2,Hard,2020,ScientistEngineer SC Electronics
43,DSP,Filters,"The bit growth in a CIC interpolation filter with interpolation factor 128, 4 stages and differential delay 2 is:",64,16,32,4,32,Medium,2020,ScientistEngineer SC Electronics
44,VLSI,Pass Transistor,"In a pass transistor circuit with VDD = 1 V and threshold voltage 0.2 V, the output voltage is:",0.6 V,0.8 V,1 V,1.2 V,0.8 V,Medium,2020,ScientistEngineer SC Electronics
45,VLSI,CMOS,A CMOS IC consumes 155 mW at 10 MHz and 200 mW at 25 MHz. The static power consumption is:,120 mW,200 mW,125 mW,225 mW,120 mW,Medium,2020,ScientistEngineer SC Electronics
46,VLSI,MOSFET,"If n identical MOSFETs with same W/L are connected in series, the equivalent W/L is:",(W/L)×n,(W/L)/n,(W/L)×n²,(W/L)/n²,(W/L)/n,Easy,2020,ScientistEngineer SC Electronics
47,Microcontroller,8051,Which operation takes minimum clock cycles in 8051?,b=a*a,b=a*5,b=a/5,b=a/8,b=a/8,Easy,2020,ScientistEngineer SC Electronics
48,Digital Electronics,FPGA,Which FPGA resource implements combinational logic functionality?,Block RAM,CLB,Routing matrix,All of above,CLB,Easy,2020,ScientistEngineer SC Electronics
49,Computer Organization,Memory,"A system has L1, L2 and main memory access times 1, 10 and 100 cycles respectively. L1 miss rate = 5%, L2 miss rate = 20%. The average memory access time (AMAT) is:",2.5 cycles,5 cycles,7.5 cycles,1 cycle,2.5 cycles,Medium,2020,ScientistEngineer SC Electronics
50,Computer Organization,Performance,"A multicycle processor executes instructions: branches (3 cycles), R/I type (4 cycles), load/store (5 cycles). Given instruction mix, the CPI is:",4.1,4.14,2.14,2.4,4.14,Medium,2020,ScientistEngineer SC Electronics
51,Mathematics,Differential Equations,Solve the initial value problem 3x²y dx + 2x³ dy = 0 with y(1)=3.,y=3/x^(3/2),x³y²=9,x³y²=19,x³y²=3,x³y²=9,Hard,2020,ScientistEngineer SC Mechanical
52,Mathematics,Differential Equations,"Given y'' + ay' + by = 0 with a = 2√b, find basis of solution.","e^(−ax/2), xe^(−ax/2)","e^(ax), e^(−ax)",c1e^(−ax/2)+c2e^(ax/2),"e^(−ax/2), e^(ax/2)","e^(−ax/2), xe^(−ax/2)",Medium,2020,ScientistEngineer SC Mechanical
53,Mathematics,Linear Algebra,Find inverse of given 2×2 matrix.,Opt1,Opt2,Opt3,Opt4,Correct inverse (Option A),Medium,2020,ScientistEngineer SC Mechanical
54,Mathematics,Continuity,Find b such that function is continuous at x = −1.,-1,0,1,1/2,1,Easy,2020,ScientistEngineer SC Mechanical
55,Mathematics,Laplace Transform,"Given L{f(t)} = 1/(s(s²+ω²)), find f(t).",ω²(1−cosωt),ω²(1+cosωt),(1−sinωt)/ω,(1−cosωt)/ω²,(1−cosωt)/ω²,Medium,2020,ScientistEngineer SC Mechanical
56,Mechanical,Power,"Punching press delivers 20 kN-m energy, 900 strokes/hr. Find motor power.",20kW,5kW,2.7kW,3.1kW,2.7kW,Medium,2020,ScientistEngineer SC Mechanical
57,Mathematics,Vector Calculus,"Curl of gradient of scalar potential φ(x,y).",Maximum,Minimum,Zero,Not defined,Zero,Easy,2020,ScientistEngineer SC Mechanical
58,Mathematics,PDE,Classify PDE Uxx + 2Uxy + Uyy = F.,Elliptic,Parabolic,Hyperbolic,Trigonometric,Parabolic,Medium,2020,ScientistEngineer SC Mechanical
59,Mathematics,Probability,Probability of exactly 4 heads in 5 tosses.,5/32,1/8,1/32,3/26,5/32,Easy,2020,ScientistEngineer SC Mechanical
60,Engineering Mechanics,Forces,"Two forces at 120°, resultant ⟂ smaller force. Find smaller force.",20,25,30,35,25,Medium,2020,ScientistEngineer SC Mechanical
61,Engineering Mechanics,Kinematics,"Given θ = 2t³ − 3t², find angular acceleration at t=1.",1,4,6,12,6,Easy,2020,ScientistEngineer SC Mechanical
62,Engineering Mechanics,Projectile,"Range = 4×height, find angle.",36°,45°,56°,76°,45°,Medium,2020,ScientistEngineer SC Mechanical
63,Engineering Mechanics,Circular Motion,"Car at 36 km/h in 100m radius, find angular speed.",0.1,1,10,100,0.1 rad/s,Easy,2020,ScientistEngineer SC Mechanical
64,Engineering Mechanics,Work Power,50 kg boy climbs 8m in 10s. Find power.,400W,40W,4000W,None,400 W,Easy,2020,ScientistEngineer SC Mechanical
65,Strength of Materials,Elasticity,No volume change under axial load. Find Poisson ratio.,0.2,0.3,0.5,1,0.5,Medium,2020,ScientistEngineer SC Mechanical
66,Strength of Materials,Bending,Find maximum UDL on beam.,60,300,150,30,60 kN/m,Hard,2020,ScientistEngineer SC Mechanical
67,Strength of Materials,Stress-Strain,Point after proportional limit.,Upper yield,Lower yield,Elastic limit,Ultimate,Upper yield point,Easy,2020,ScientistEngineer SC Mechanical
68,Strength of Materials,Thermal Stress,Stress ratio in bars P and Q.,2,4,8,16,2,Medium,2020,ScientistEngineer SC Mechanical
69,Strength of Materials,Strain Energy,Find modulus of resilience.,1/5,25,1/25,5,1/5 N-mm/mm³,Medium,2020,ScientistEngineer SC Mechanical
70,Theory of Machines,Kinematics,Number of inversions for L links.,L,L/2,L+2,L+1,L,Easy,2020,ScientistEngineer SC Mechanical
71,Theory of Machines,Vibration,Node in torsional vibration.,Max velocity,Max displacement,Max acceleration,Zero displacement,Zero angular displacement,Easy,2020,ScientistEngineer SC Mechanical
72,Strength of Materials,Failure Theory,Rankine theory applicable to.,Ductile,Brittle,Plastic,Tough,Brittle materials,Easy,2020,ScientistEngineer SC Mechanical
73,Engineering Mechanics,Flywheel,Find moment of inertia.,5517,6119,7536,9132,6119 kg·m²,Medium,2020,ScientistEngineer SC Mechanical
74,Engineering Mechanics,Vibration,"Mass-spring system, find m.",1.8,1,1.2,2.4,1.2 kg,Medium,2020,ScientistEngineer SC Mechanical
75,Theory of Machines,Spring,Spring constant after doubling parameters.,k/2,k,8k,16k,8k,Medium,2020,ScientistEngineer SC Mechanical
76,Engineering Mechanics,SHM,A simple pendulum of length 8 m has speed 10 m/s at mean position. Find net force on bob.,3 N,0,30 N,1 N,0,Easy,2020,ScientistEngineer SC Mechanical
77,Theory of Machines,Vibration,"For equation x¨ + 64π²x = 0, find natural frequency.",1 Hz,2 Hz,4 Hz,8 Hz,4 Hz,Medium,2020,ScientistEngineer SC Mechanical
78,Strength of Materials,Torsion,Maximum shear stress in circular shaft under torque T.,32T/(πd³),32T/(πd⁴),16T/(πd³),16T/(πd⁴),16T/(πd³),Easy,2020,ScientistEngineer SC Mechanical
79,Fluid Mechanics,Vortex,"In free vortex, tangential velocity varies as.",Direct r,Inverse r,Direct r²,Inverse r²,Inversely proportional to r,Easy,2020,ScientistEngineer SC Mechanical
80,Fluid Mechanics,Water Hammer,Water hammer depends on.,Pipe elasticity,Fluid elasticity,Valve speed,All,All of the above,Easy,2020,ScientistEngineer SC Mechanical
81,Fluid Mechanics,Flow,Large Reynolds number indicates.,Smooth flow,Laminar flow,Steady flow,Highly turbulent flow,Highly turbulent flow,Easy,2020,ScientistEngineer SC Mechanical
82,Fluid Mechanics,Viscosity,Unit of dynamic viscosity.,m²/s,N·s/m²,Pa·s/m²,kg·s²/m²,N·s/m²,Easy,2020,ScientistEngineer SC Mechanical
83,Fluid Mechanics,Pumps,Centrifugal pump power required.,20 kW,200 kW,2000 kW,40 kW,20 kW,Medium,2020,ScientistEngineer SC Mechanical
84,Fluid Mechanics,Hydrostatics,Depth of centre of pressure for vertical circular plate.,5d/8,11d/16,2d/3,3d/4,2d/3,Medium,2020,ScientistEngineer SC Mechanical
85,Fluid Mechanics,Impact of Jet,Force developed by jet on moving plate.,10 N,100 N,1000 N,2000 N,200 N (approx → closest 1000 N),Medium,2020,ScientistEngineer SC Mechanical
86,Fluid Mechanics,Pipe Flow,Head loss in sudden expansion.,1/4(V₁²/2g),3/16(V₁²/2g),1/64(V₁²/2g),9/16(V₁²/2g),9/16(V₁²/2g),Medium,2020,ScientistEngineer SC Mechanical
87,Heat Transfer,Thermal Properties,Thermal diffusivity represents.,Heat conduction,Heat emission,Conduction/storage ratio,Radiation,Conduction relative to storage,Medium,2020,ScientistEngineer SC Mechanical
88,Heat Transfer,Radiation,Which body cools faster in vacuum?,High emissivity,Low emissivity,Same,None,Higher emissivity body,Easy,2020,ScientistEngineer SC Mechanical
89,Heat Transfer,Radiation,Wavelength for max emission at 2000K.,2.9 μm,5.8 μm,1.45 μm,145 μm,1.45 μm,Medium,2020,ScientistEngineer SC Mechanical
90,Heat Transfer,Radiation,Grey body definition.,Appears grey,Temp independent,Direction independent,Wavelength independent,Wavelength independent,Easy,2020,ScientistEngineer SC Mechanical
91,Heat Transfer,Radiation,Temp for 16× radiation increase.,254°C,527°C,400°C,800°C,527°C,Medium,2020,ScientistEngineer SC Mechanical
92,Thermodynamics,Basics,Thermodynamic system undergoes.,Pressure change,Volume change,Internal energy change,All,All of the above,Easy,2020,ScientistEngineer SC Mechanical
93,Thermodynamics,Laws,Conservation of energy law.,Zeroth,Stefan,First,Second,First law,Easy,2020,ScientistEngineer SC Mechanical
94,Thermodynamics,Entropy,Entropy change in reversible adiabatic.,Zero,Positive,Negative,Unknown,Zero,Easy,2020,ScientistEngineer SC Mechanical
95,Thermodynamics,Cycles,Otto cycle consists of.,2P+2V,2P+2T,2T+2S,2V+2S,2 constant volume + 2 isentropic,Medium,2020,ScientistEngineer SC Mechanical
96,Thermodynamics,Psychrometry,Fully saturated air condition.,DBT=WBT,DBT>WBT,WBT>DBT,None,DBT=WBT,Easy,2020,ScientistEngineer SC Mechanical
97,Materials Science,Heat Treatment,Annealing process.,Air cooled,Quenched,Furnace cooled,Below critical,Furnace cooled,Medium,2020,ScientistEngineer SC Mechanical
98,Materials Science,Crystal Structure,HCP metals.,Zn Mg Co Cd,Al Cu Ag,Fe Cr W,None,Zn Mg Co Cd,Medium,2020,ScientistEngineer SC Mechanical
99,Materials Science,Mechanical Properties,Slow deformation under stress.,Creep,Fatigue,Endurance,Plasticity,Creep,Easy,2020,ScientistEngineer SC Mechanical
100,Materials Science,Phase Transformation,Curie temperature.,770°C,910°C,1050°C,Below recrystallization,770°C,Medium,2020,ScientistEngineer SC Mechanical
101,Physics,Electromagnetism,"A circular loop of fine wire of radius R carrying a current I is placed in a uniform magnetic field B perpendicular to the plane of the loop. If the breaking tension of the wire is T, the wire will break when the magnetic field exceeds",T/(IR),T/(2πIR),μ0T/(2πIR),μ0T/(4πIR),T/(2πIR),Medium,2020,ScientistEngineer SC Physics
102,Physics,Measurement,"A student is provided with standard resistors and instruments including voltmeter (0.1V), thermometer (0.1°C), ammeter (0.001A), stopwatch (0.05s), constant current source and constant voltage source. The least accurate method to measure resistance is",Measuring Joule heating,Constant current method,Constant voltage method,Wheatstone bridge,Measuring Joule heating,Easy,2020,ScientistEngineer SC Physics
103,Mathematics,Differential Equations,The function y(x) satisfies x(dy/dx)=y(ln y − ln x +1) with y(1)=3. Find y(3),9,81,64,27,27,Hard,2020,ScientistEngineer SC Physics
104,Physics,Astrophysics,"In a stellar model, density p(r)=p0(1−r/R). The gravitational potential energy of the star is",-GM²/(4πR),-3GM²/(5R),-5GM²/(7R),-3GM²/(7R),-3GM²/(5R),Hard,2020,ScientistEngineer SC Physics
105,Physics,Quantum Mechanics,A particle has wavefunction ψ(x)=ψ0(1−|x|/a). The corresponding potential is,Vx²,V|x|,−Vδ(x),|x|,−Vδ(x),Medium,2020,ScientistEngineer SC Physics
106,Mathematics,Integration,The value of the integral ∫ x² exp(−x²) dx from 0 to ∞ is,√π/4,1/2,√π/8,1,√π/4,Medium,2020,ScientistEngineer SC Physics
107,Physics,Kinematics,"A stone is dropped vertically from a tower of height 40 m. At the same time, a gun is aimed directly at the stone from a horizontal distance of 30 m and fired. If the bullet hits the stone before it reaches the ground, the minimum velocity of the bullet is",57.5 m/s,27.7 m/s,17.7 m/s,7.4 m/s,27.7 m/s,Medium,2020,ScientistEngineer SC Physics
108,Physics,Mechanics,"A particle with time varying mass m(t)=m₀(1−t/T) moves under a constant force F. If initially at rest, the velocity at time t is",−(F/m₀)ln(1−t/T),(F/m₀)ln(1−t/T),(F/m₀)(t/T),(F/m₀)(1−t/T),−(F/m₀)ln(1−t/T),Hard,2020,ScientistEngineer SC Physics
109,Physics,Experiments,Which experiment proves Earth is a non-inertial frame with respect to fixed stars?,Fizeau experiment,Foucault pendulum,Newton coin experiment,Michelson-Morley,Foucault pendulum,Easy,2020,ScientistEngineer SC Physics
110,Physics,Quantum Mechanics,A harmonic oscillator has wavefunction ψ = [3ψ₀ − 2√2ψ₁ + 2√2ψ₂]/3. The expectation value of energy is,1.58 ħω,0.46 ħω,ħω,1.46 ħω,1.46 ħω,Hard,2020,ScientistEngineer SC Physics
111,Physics,Quantum Mechanics,A particle in a 1D box left undisturbed has wavefunction which is,Ground state,Periodic,Linear superposition,Single eigenstate,Linear superposition,Medium,2020,ScientistEngineer SC Physics
112,Physics,Statistical Mechanics,"A classical ideal gas is confined in potential V(x,y,z)=C(x²+y²+z²). The RMS distance from origin is",√(3kT/C),√(kT/C),√(2kT/C),√(6kT/C),√(3kT/C),Medium,2020,ScientistEngineer SC Physics
113,Mathematics,Algebra,The system x² − y² = 1 and x − y = 1 has how many solutions?,1,2,3,4,2,Easy,2020,ScientistEngineer SC Physics
114,Physics,Mechanics,Hamiltonian equals total energy if Lagrangian,Has no velocity terms,Is separable,Has no coordinate terms,Has no explicit time dependence,Has no explicit time dependence,Medium,2020,ScientistEngineer SC Physics
115,Physics,Measurement,"Two students measure pendulum period. Student A measures N times separately, B measures N oscillations once. Which has less error?",A larger error,A smaller error,Same accuracy,Cannot decide,Student B has smaller error,Easy,2020,ScientistEngineer SC Physics
116,Mathematics,Fourier Series,The Fourier series that reproduces the function f(x) in the interval 0 < x < 1 is,cos(mx)+cos(2mx)+...,1+2cos(2mx)+2cos(4mx)+...,1+cos(mx)+cos(2mx)+...,(cos(mx)+sin(mx))+...,1+2cos(2mx)+2cos(4mx)+...,Hard,2020,ScientistEngineer SC Physics
117,Physics,Quantum Mechanics,"An electron in hydrogen initially in state n=3, l=2 undergoes electric dipole transition. The final state can be","(n=2,l=1)","(n=2,l=2)","(n=3,l=0)","(n=3,l=1)","(n=2,l=1)",Medium,2020,ScientistEngineer SC Physics
118,Physics,Quantum Mechanics,An electron in 1D box of length 1 nm. First three de Broglie wavelengths are,"1.5,0.75,0.33","2.0,1.0,0.67","3.0,1.5,1.0","1.0,0.5,0.33","2.0 nm, 1.0 nm, 0.67 nm",Medium,2020,ScientistEngineer SC Physics
119,Physics,Electromagnetism,A conductor of length 1 cm rotates in radial magnetic field B=0.5 r̂ Tesla. Induced emf is,-0.06 V,-0.05 V,-0.04 V,-0.03 V,-0.05 V,Medium,2020,ScientistEngineer SC Physics
120,Physics,Thermodynamics,An ideal gas in insulated rigid container initially at T with walls at T₀<T. Final pressure compared to initial is,Same,Lower initially,Higher initially,Same final and initial,Higher initially,Medium,2020,ScientistEngineer SC Physics
121,Physics,Relativity,Two observers moving at c/2 along triangle sides. Relative velocity of B wrt A is,c/2,3c/4,c/3,c/√2,3c/4,Hard,2020,ScientistEngineer SC Physics
122,Physics,Low Temperature Physics,Best sensor material for 100 mK to 1 K temperature range is,Insulator,p-n junction,Pure semiconductor,Metal,Pure semiconductor,Medium,2020,ScientistEngineer SC Physics
123,Physics,EM Waves,"Given electric and magnetic fields, time averaged radiated power is",AB/μ0,μ0AB,c²AB,AB,AB/μ0,Hard,2020,ScientistEngineer SC Physics
124,Physics,Statistical Mechanics,Photon number in blackbody cavity varies as,T,T²,T³,T⁴,T³,Medium,2020,ScientistEngineer SC Physics
125,Physics,Solid State,Why electronic specific heat is small in metals?,Mass small,Pauli exclusion,Spin,Interaction,Pauli exclusion principle,Medium,2020,ScientistEngineer SC Physics
126,Physics,Vector Calculus,"Vector parallel to surface x²y+2xz=4 at (2,-2,3) is",6i−2j−5k,6i+2j+5k,−6i−2j+5k,6i−2j+5k,6i−2j+5k,Medium,2020,ScientistEngineer SC Physics
127,Physics,Quantum Mechanics,Ground state energy of particle in box is not zero because,No nodes,Convenient zero,Uncertainty principle,Finite potential,Uncertainty principle,Medium,2020,ScientistEngineer SC Physics
128,Physics,Atmospheric Physics,Correct air flow around low pressure region in southern hemisphere,Diagram A,Diagram B,Diagram C,Diagram D,Diagram B,Medium,2020,ScientistEngineer SC Physics
129,Physics,Solid State,In indirect band gap semiconductor which is NOT true,Energy increases,Phonon involved,Photon absorbed,No momentum change,No momentum change,Medium,2020,ScientistEngineer SC Physics
130,Physics,Thermodynamics,"For gas equation of state, Cp−Cv equals",R,R(1+...),R(1+...),R(1−...),R,Medium,2020,ScientistEngineer SC Physics
131,Physics,Electrostatics,An infinitely long cylinder of radius R carries charge density ρ(r)=kr. The electrostatic potential inside the cylinder varies as,r²,ln(r),r³,1/r,r²,Medium,2020,ScientistEngineer SC Physics
